GAME_ID,TEAM_ID,FIRST_SHOT_TYPE,FIRST_SHOT_TIME_SEC,FIRST_MINUTE_BASKETS,FIRST_MINUTE_POINTS
0022500190,1610612756,3PT,20.0,1,3
0022500191,1610612745,2PT,,1,2
0022500191,1610612749,3PT,16.0,1,3
0022500192,1610612751,2PT,,0,0
0022500192,1610612752,3PT,24.0,0,0
0022500193,1610612738,2PT,,0,0
0022500193,1610612753,3PT,61.0,1,3
0022500194,1610612760,2PT,18.0,2,4
0022500194,1610612763,2PT,,1,2
0022500195,1610612755,2PT,7.0,1,2
0022500195,1610612765,2PT,,1,3
0022500196,1610612744,3PT,11.0,0,0
0022500196,1610612754,3PT,,0,0
0022500197,1610612750,3PT,14.0,1,2
0022500197,1610612758,2PT,,0,0
0022500198,1610612747,2PT,29.0,1,2
0022500198,1610612766,2PT,,1,2
0022500199,1610612764,2PT,,1,2
0022500199,1610612765,2PT,18.0,1,2
0022500200,1610612753,3PT,,1,2
0022500200,1610612757,2PT,18.0,1,2
0022500201,1610612739,3PT,,1,3
0022500201,1610612748,2PT,15.0,0,0
0022500202,1610612741,3PT,,0,0
0022500202,1610612759,2PT,16.0,1,2
0022500203,1610612742,2PT,20.0,1,2
0022500203,1610612749,2PT,,0,0
0022500204,1610612740,2PT,,0,0
0022500204,1610612756,3PT,19.0,0,0
0022500205,1610612750,3PT,30.0,1,2
0022500205,1610612762,2PT,,1,2
0022500206,1610612737,3PT,44.0,0,0
0022500206,1610612746,2PT,,1,2
0022500207,1610612751,3PT,25.0,1,3
0022500207,1610612761,2PT,,0,0
0022500208,1610612752,3PT,,0,0
0022500208,1610612763,3PT,13.0,2,5
0022500209,1610612738,2PT,,1,2
0022500209,1610612755,2PT,22.0,1,2
0022500210,1610612744,2PT,,1,2
0022500210,1610612760,3PT,11.0,1,3
0022500211,1610612754,2PT,,2,4
0022500211,1610612762,2PT,18.0,0,0
0022500212,1610612743,2PT,,1,2
0022500212,1610612758,2PT,18.0,1,2
0022500213,1610612749,3PT,,1,3
0022500213,1610612766,2PT,14.0,2,5
0022500214,1610612741,2PT,,0,0
0022500214,1610612765,3PT,35.0,1,3
0022500215,1610612752,2PT,,1,2
0022500215,1610612753,3PT,19.0,0,0
0022500216,1610612738,2PT,,1,2
0022500216,1610612763,2PT,16.0,0,0
0022500217,1610612739,2PT,15.0,0,0
0022500217,1610612748,3PT,,0,0
0022500218,1610612745,3PT,,0,0
0022500218,1610612764,3PT,21.0,0,0
0022500219,1610612740,3PT,,1,3
0022500219,1610612757,2PT,20.0,1,3
0022500220,1610612744,3PT,,0,0
0022500220,1610612759,2PT,18.0,1,2
0022500221,1610612742,2PT,,2,4
0022500221,1610612756,3PT,25.0,0,0
0022500222,1610612747,2PT,16.0,1,2
0022500222,1610612760,3PT,,0,0
0022500223,1610612737,3PT,19.0,1,3
0022500223,1610612758,2PT,,1,2
0022500224,1610612743,2PT,,0,0
0022500224,1610612746,3PT,15.0,1,2
0022500225,1610612739,2PT,,1,2
0022500225,1610612761,2PT,14.0,0,0
0022500226,1610612754,3PT,20.0,1,2
0022500226,1610612756,3PT,,0,0
0022500227,1610612737,3PT,,1,1
0022500227,1610612762,3PT,18.0,1,2
0022500228,1610612739,3PT,,1,4
0022500228,1610612763,3PT,13.0,0,0
0022500229,1610612760,2PT,,1,2
0022500229,1610612766,2PT,15.0,1,2
0022500230,1610612754,3PT,18.0,1,3
0022500230,1610612761,3PT,,0,0
0022500231,1610612747,2PT,18.0,1,2
0022500231,1610612749,3PT,,0,0
0022500232,1610612743,2PT,19.0,1,2
0022500232,1610612750,3PT,,1,2
0022500233,1610612738,2PT,,1,2
0022500233,1610612746,2PT,14.0,0,0
0022500234,1610612758,2PT,36.0,2,4
0022500234,1610612759,2PT,,1,2
0022500235,1610612751,2PT,,1,2
0022500235,1610612764,2PT,17.0,2,4
0022500236,1610612745,2PT,,1,2
0022500236,1610612753,2PT,19.0,1,3
0022500237,1610612740,2PT,15.0,2,4
0022500237,1610612744,2PT,,1,2
0022500238,1610612742,2PT,,1,2
0022500238,1610612757,2PT,20.0,1,2
